,,Customer Cohort Analysis with Online Retail Data,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Customer Retention Analysis,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
COHORT,MONTH_0,MONTH_1,MONTH_2,MONTH_3,MONTH_4,MONTH_5,MONTH_6,MONTH_7,MONTH_8,MONTH_9,MONTH_10,MONTH_11,MONTH_12
01/12/2010,885,266,304,310,350,327,323,304,308,322,333,409,299
01/01/2011,417,99,103,107,127,110,104,98,124,132,150,43,
01/02/2011,380,67,85,98,99,88,100,102,102,106,33,,
01/03/2011,452,73,97,102,98,76,103,112,113,37,,,
01/04/2011,300,65,65,56,61,58,61,75,28,,,,
01/05/2011,284,50,47,46,57,63,75,31,,,,,
01/06/2011,242,43,36,55,61,78,23,,,,,,
01/07/2011,188,39,31,46,43,13,,,,,,,
01/08/2011,169,34,43,42,9,,,,,,,,
01/09/2011,299,73,85,14,,,,,,,,,
01/10/2011,358,81,25,,,,,,,,,,
01/11/2011,323,21,,,,,,,,,,,
01/12/2011,9,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Customer Retention Rate (%),,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
COHORT,MONTH_0,MONTH_1,MONTH_2,MONTH_3,MONTH_4,MONTH_5,MONTH_6,MONTH_7,MONTH_8,MONTH_9,MONTH_10,MONTH_11,MONTH_12
01/12/2010,885,30.1%,34.4%,35.0%,39.5%,36.9%,36.5%,34.4%,34.8%,36.4%,37.6%,46.2%,33.8%
01/01/2011,417,23.7%,24.7%,25.7%,30.5%,26.4%,24.9%,23.5%,29.7%,31.7%,36.0%,10.3%,
01/02/2011,380,17.6%,22.4%,25.8%,26.1%,23.2%,26.3%,26.8%,26.8%,27.9%,8.7%,,
01/03/2011,452,16.2%,21.5%,22.6%,21.7%,16.8%,22.8%,24.8%,25.0%,8.2%,,,
01/04/2011,300,21.7%,21.7%,18.7%,20.3%,19.3%,20.3%,25.0%,9.3%,,,,
01/05/2011,284,17.6%,16.5%,16.2%,20.1%,22.2%,26.4%,10.9%,,,,,
01/06/2011,242,17.8%,14.9%,22.7%,25.2%,32.2%,9.5%,,,,,,
01/07/2011,188,20.7%,16.5%,24.5%,22.9%,6.9%,,,,,,,
01/08/2011,169,20.1%,25.4%,24.9%,5.3%,,,,,,,,
01/09/2011,299,24.4%,28.4%,4.7%,,,,,,,,,
01/10/2011,358,22.6%,7.0%,,,,,,,,,,
01/11/2011,323,6.5%,,,,,,,,,,,
01/12/2011,9,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Customer Churn Rate (%),,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
COHORT,MONTH_0,MONTH_1,MONTH_2,MONTH_3,MONTH_4,MONTH_5,MONTH_6,MONTH_7,MONTH_8,MONTH_9,MONTH_10,MONTH_11,MONTH_12
01/12/2010,885,69.9%,65.6%,65.0%,60.5%,63.1%,63.5%,65.6%,65.2%,63.6%,62.4%,53.8%,66.2%
01/01/2011,417,76.3%,75.3%,74.3%,69.5%,73.6%,75.1%,76.5%,70.3%,68.3%,64.0%,89.7%,
01/02/2011,380,82.4%,77.6%,74.2%,73.9%,76.8%,73.7%,73.2%,73.2%,72.1%,91.3%,,
01/03/2011,452,83.8%,78.5%,77.4%,78.3%,83.2%,77.2%,75.2%,75.0%,91.8%,,,
01/04/2011,300,78.3%,78.3%,81.3%,79.7%,80.7%,79.7%,75.0%,90.7%,,,,
01/05/2011,284,82.4%,83.5%,83.8%,79.9%,77.8%,73.6%,89.1%,,,,,
01/06/2011,242,82.2%,85.1%,77.3%,74.8%,67.8%,90.5%,,,,,,
01/07/2011,188,79.3%,83.5%,75.5%,77.1%,93.1%,,,,,,,
01/08/2011,169,79.9%,74.6%,75.1%,94.7%,,,,,,,,
01/09/2011,299,75.6%,71.6%,95.3%,,,,,,,,,
01/10/2011,358,77.4%,93.0%,,,,,,,,,,
01/11/2011,323,93.5%,,,,,,,,,,,
01/12/2011,9,,,,,,,,,,,,
